epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1413494050502777,0.7798847556114197,0.001,0.16884925961494446,0.6885735392570496
1,0.1345919370651245,0.6901170611381531,0.001,0.16522708535194397,0.6772351264953613
2,0.13260650634765625,0.6749180555343628,0.001,0.11382000893354416,0.6729454398155212
3,0.12372426688671112,0.6709288358688354,0.001,0.14697687327861786,0.6699776649475098
4,0.1276254802942276,0.6693331003189087,0.001,0.14265812933444977,0.6727100610733032
5,0.1272423267364502,0.66879802942276,0.001,0.12357202917337418,0.6708964109420776
6,0.1182556003332138,0.6679129004478455,0.001,0.07718027383089066,0.6714528799057007
7,0.11146330088376999,0.6678254008293152,0.0005,0.10197826474905014,0.6708635687828064
8,0.11870841681957245,0.6675469279289246,0.0005,0.10741153359413147,0.6700361967086792
9,0.1101745069026947,0.6673300266265869,0.0005,0.10852605104446411,0.6695500016212463
10,0.12776480615139008,0.667651355266571,0.0005,0.13513512909412384,0.6706278920173645
11,0.12247030436992645,0.666925847530365,0.0005,0.10713290423154831,0.6693514585494995
12,0.11254310607910156,0.6686495542526245,0.0005,0.12385065108537674,0.6697596311569214
13,0.1238636001944542,0.6673213839530945,0.0005,0.13513512909412384,0.6696792840957642
14,0.12114667892456055,0.6674624085426331,0.0005,0.1220395639538765,0.6692100763320923
